,1. open,2. high,3. low,4. close,5. volume
2025-06-04,464.0,465.69,463.0201,463.87,14162688.0
2025-06-05,464.955,469.65,464.03,467.68,20154460.0
2025-06-06,470.085,473.335,468.78,470.38,15285624.0
2025-06-09,469.7,473.43,468.62,472.75,16469932.0
2025-06-10,471.185,472.8,466.96,470.92,15375944.0
2025-06-11,470.02,475.47,469.655,472.62,16399176.0
2025-06-12,475.02,480.415,473.52,478.87,18950582.0
2025-06-13,476.41,479.18,472.76,474.96,16814456.0
2025-06-16,475.21,480.6943,475.0,479.14,15626104.0
2025-06-17,475.395,478.7399,474.08,478.04,15414128.0
2025-06-18,478.0,481.0,474.46,480.24,17526452.0
2025-06-20,482.23,483.46,476.87,477.4,37576206.0
2025-06-23,478.21,487.75,472.51,486.0,24863952.0
2025-06-24,488.95,491.849,486.795,490.11,22305642.0
2025-06-25,492.04,494.5556,489.39,492.27,17495099.0
2025-06-26,492.98,498.04,492.81,497.45,21578853.0
2025-06-27,497.55,499.3,493.03,495.94,34539236.0
2025-06-30,497.04,500.76,495.33,497.41,28368991.0
2025-07-01,496.47,498.05,490.98,492.05,19945375.0
2025-07-02,489.99,493.5,488.7,491.09,16319641.0
2025-07-03,493.81,500.13,493.44,498.84,13984829.0
2025-07-07,497.38,498.75,495.225,497.72,13981605.0
2025-07-08,497.24,498.2,494.11,496.62,11846586.0
2025-07-09,500.3,506.78,499.74,503.51,18659538.0
2025-07-10,503.05,504.44,497.75,501.48,16498740.0
2025-07-11,498.47,505.03,497.795,503.32,16459512.0
2025-07-14,501.515,503.97,501.03,503.02,12058848.0
2025-07-15,503.02,508.3,502.79,505.82,14927202.0
2025-07-16,505.18,506.72,501.89,505.62,15154374.0
2025-07-17,505.68,513.37,505.62,511.7,17503129.0
2025-07-18,514.48,514.64,507.43,510.05,21209666.0
2025-07-21,506.705,512.09,505.55,510.06,14066805.0
2025-07-22,510.97,511.2,505.27,505.27,13868644.0
2025-07-23,506.75,506.79,500.7,505.87,16396585.0
2025-07-24,508.77,513.67,507.3,510.88,16107000.0
2025-07-25,512.465,518.29,510.3592,513.71,19125699.0
2025-07-28,514.08,515.0,510.12,512.5,14308027.0
2025-07-29,515.53,517.62,511.56,512.57,16469235.0
2025-07-30,515.17,515.95,509.435,513.24,26380434.0
2025-07-31,555.225,555.45,531.9,533.5,51617326.0
2025-08-01,535.0,535.8,520.86,524.11,28977628.0
2025-08-04,528.27,538.25,528.13,535.64,25349004.0
2025-08-05,537.18,537.3,527.24,527.75,19171569.0
2025-08-06,530.9,531.7,524.03,524.94,21355702.0
2025-08-07,526.8,528.09,517.5511,520.84,16079144.0
2025-08-08,522.6,524.66,519.41,522.04,15531009.0
2025-08-11,522.3,527.59,519.72,521.77,20194372.0
2025-08-12,523.75,530.98,522.7,529.24,18688921.0
2025-08-13,532.11,532.7,519.37,520.58,19619160.0
2025-08-14,522.56,525.9499,520.14,522.48,20269074.0
2025-08-15,522.77,526.1,519.08,520.17,25213272.0
2025-08-18,521.585,522.82,514.02,517.1,23760583.0
2025-08-19,515.0,515.1641,508.55,509.77,21481016.0
2025-08-20,509.865,511.0,504.44,505.72,27723025.0
2025-08-21,503.69,507.63,502.7201,504.24,18443254.0
2025-08-22,504.25,510.73,502.41,507.23,24324161.0
2025-08-25,506.63,508.19,504.12,504.26,21638579.0
2025-08-26,504.355,504.9778,498.51,502.04,30835709.0
2025-08-27,502.0,507.29,499.9,506.74,17277893.0
2025-08-28,507.09,511.09,505.5,509.64,18015593.0
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0
2025-09-02,500.465,506.0,496.81,505.12,18127995.0
2025-09-03,503.79,507.79,502.32,505.35,15995154.0
2025-09-04,504.3,508.15,503.15,507.97,15509486.0
2025-09-05,509.07,511.97,492.37,495.0,31994846.0
2025-09-08,498.105,501.195,495.03,498.2,16771015.0
2025-09-09,501.43,502.25,497.7,498.41,14410542.0
2025-09-10,502.98,503.2299,496.72,500.37,21611816.0
2025-09-11,502.25,503.17,497.88,501.01,18881608.0
2025-09-12,506.65,512.55,503.85,509.9,23624884.0
2025-09-15,508.79,515.47,507.0,515.36,17143786.0
2025-09-16,516.88,517.23,508.6,509.04,19711922.0
2025-09-17,510.62,511.29,505.93,510.02,15816585.0
2025-09-18,511.49,513.07,507.66,508.45,18913696.0
2025-09-19,510.56,519.3,510.31,517.93,52474093.0
2025-09-22,515.59,517.74,512.545,514.45,20009314.0
2025-09-23,513.8,514.5899,507.31,509.23,19799580.0
2025-09-24,510.38,512.48,506.92,510.15,13533711.0
2025-09-25,508.3,510.01,505.04,507.03,15786468.0
2025-09-26,510.06,513.94,506.62,511.46,16213129.0
2025-09-29,511.5,516.845,508.88,514.6,17617775.0
2025-09-30,513.24,518.16,509.66,517.95,19728229.0
2025-10-01,514.8,520.505,511.69,519.71,22632336.0
2025-10-02,517.64,521.6,510.6791,515.74,21222886.0
2025-10-03,517.1,520.49,515.0,517.35,15112321.0
2025-10-06,518.61,531.03,518.2,528.57,21388581.0
2025-10-07,528.285,529.8,521.44,523.98,14615208.0
2025-10-08,523.28,526.95,523.09,524.85,13363447.0
2025-10-09,522.335,524.325,517.4,522.4,18343602.0
2025-10-10,519.64,523.58,509.63,510.96,24133840.0
2025-10-13,516.41,516.41,511.68,514.05,14284238.0
2025-10-14,510.225,515.282,506.0,513.57,14684300.0
2025-10-15,514.955,517.19,510.0,513.43,14694654.0
2025-10-16,512.58,516.85,508.13,511.61,15559565.0
2025-10-17,509.04,515.48,507.31,513.58,19867765.0
2025-10-20,514.61,518.7,513.43,516.79,14665620.0
2025-10-21,517.5,518.69,513.04,517.66,15586204.0
2025-10-22,521.15,525.23,517.71,520.54,18962694.0
2025-10-23,522.46,523.95,518.61,520.56,14023532.0
2025-10-24,522.79,525.345,520.71,523.61,15532360.0
